brewery_id,brewery_name,no_of_beers,no_of_beerstyles
8452,Shadows Brewing Company,2,2
8464,Efes-Vitanta-Moldova Brewery S.A.,2,2
8468,Lidskoye Pivo OAO,3,2
8469,Miercurea Ciuc (Brau Union Romania),1,1
8470,Theresianer HTS 1892 Spa,5,4
8508,McCallum Brewery,4,4
8515,Oxenhope Moorlands Brewery,1,1
8521,Rock Bottom Restaurant And Brewery,10,10
8535,Carlsberg-Tetley Brewing Ltd,14,6
8540,Etna Brewery,9,9
8545,Privatbrauerei Moritz Fiege Bochum,2,2
8546,Daniel Thwaites Brewery PLC,26,11
8560,Hepworth & Co. (Brewers) Ltd.,19,10
8590,Wet Planet Beverage Co.,1,1
8593,Phoenix Brewery Co Ltd,11,6
8606,Fearless Brewing Company,12,11
8611,Melchers Group,2,1
8630,Quay Street Brewing Company,7,6
8646,Saigon Beer Company,2,1
8655,Schlossbrauerei Maxlrain GmbH & Co. KG,6,5
8656,Wood Brewery Ltd,10,4
8674,Oregon Trader Brewing Company,17,15
8681,Peter B's Brew Pub,6,5
8685,Ruth McGowan's Brewpub,3,3
8687,Bear's Lair,1,1
8689,Lost Duck Brewpub,13,9
8731,Oechsner Ankerbräu KG,2,2
8741,White Star Brewery Ltd,6,4
8742,Springhead Fine Ales Ltd,9,4
8761,Pepperwood Bistro,15,13
8764,Privatbrauerei Georg Wolf,2,2
8768,Greenpoint Beerworks / Kelso of Brooklyn,35,23
8775,O'Griff's Irish Pub & Brewhouse,16,14
8776,Barley and Hops Grill & Microbrewery,13,10
8786,Werner Bräu GmbH,2,2
8798,Celtic Brew,2,2
8802,Conwy Brewery Ltd,5,2
8818,Dale Bros. Brewery,9,8
8877,Brü,12,12
8908,Pivovar Rychtar Hlinsko,2,1
8911,Pivzavod Muliyon,2,2
8912,Privatbrauerei Kesselring Gmbh & Co. KG,5,5
8913,Hasen Bräu Augsburg,4,3
8919,Suginoya Brewery (Hamachi Shuzo K.K.),3,3
8921,The CEEPS / Barney's,2,2
8923,The Olde Heidelberg Tavern and Brew Pub,1,1
8930,Dempsey's Restaurant And Brewery,8,7
8943,Old Cottage,1,1
8950,Brasserie Bièropholie,24,19
8958,Spectrum Brewery,2,2
8967,Paulaner Bräuhaus,2,2
8984,Bazens' Brewery Co Ltd,3,3
8994,Les Brasseurs De Lorraine,5,5
8995,Brasserie Uberach,12,8
9003,Erzquell Brauerei Bielstein Haas & Co. KG,2,1
9008,Buffalo Brewpub,12,9
9011,Rebellion Beer Co,5,5
9012,Okell & Son,8,6
9020,Yazoo Brewing Company,76,17
9021,Weiss Rössl Bräu,8,5
9025,Boscos Restaurant & Brewing Co. - Little Rock,22,18
9026,Wanaka Beerworks,3,3
9027,Miner's Brewery,1,1
9028,Brasserie Nationale d'Haiti,1,1
9030,Hunter-Gatherer Brewery and Ale House,10,9
9031,Nelson Bay's Brewery,1,1
9033,Turk Tuborg Brewing and Malting,6,4
9035,Aiken Brewing Company,22,20
9036,BJ's Restaurant & Brewery,5,5
9045,Times Square Brewery,7,7
9048,Industrial Cervecera S.A. / Compañía Cervecera De Nicaragua,6,5
9050,Glastonbury Ales,2,2
9051,Moor Beer Company,8,7
9054,Downton Brewery Company,8,6
9055,Kazbegi JSC,5,1
9056,Chernigivske Pivokombinat,6,6
9057,Samarqand 1-Son Pivo Zavodi Pulsar,2,2
9060,Au Brasseur,3,3
9061,Brasserie Des Abers,8,6
9062,Les Trois Brasseurs,3,3
9065,Brasserie Cooperative Tri Martolod,3,3
9072,"Beer Engine, The",1,1
9076,Birreria Pedavena,3,2
9088,Patra OAO,6,1
9089,Permskaya Pivovarinnaya Kompaniya,5,2
9090,Pivovariya Solenoukhov,3,1
9095,Deschutes Brewery & Public House,11,8
9099,Zolotoy Ural OAO,3,2
9104,Front Street Brewery,7,6
9117,"Satsuma Beer, K.K.",8,8
9121,SBC Restaurant & Brewery - Branford,17,15
9126,Four Sons Brewery Restaurant,16,16
9135,Dark Isle Brewery,10,9
9138,Cheers Tavern,3,3
9139,Feral Brewing Co.,25,20
9140,Last Drop Brewery,10,9
9141,Mallard Brewery,1,1
9144,5280 Roadhouse and Brewery,4,4
9146,Wineglass Bay Brewery,2,2
9148,Woof Breweries,4,4
9149,Ranova-Krasnaya,4,2
9151,Brauhaus Faust-Miltenberger,9,8
9167,23rd Street Brewery,20,14
9174,Smokehouse Winery,1,1
9187,Gotenba Kohgen Brewery,1,1
9188,Norilskiy Pivovarinniy Zavod,1,1
9192,Brasserie De La Chapelle,5,5
9193,Brasserie Morbraz,7,5
9197,Huisbrouwerij Sint Canarus,6,4
9208,Umenishiki Yamakawa,5,5
9209,Sapporo Kaitakushi Brewery Harriet,5,3
9211,Doshisha Corporation,1,1
9217,Onidensetsu Ji-Beer,4,4
9218,Streek Bieren Iwamizawa Bakushukan,2,2
9220,Hawkshead Brewery / Staveley Brewery & Beer Hall,9,6
9225,Susukino Ji-Beer (Shimijimi Sapporo Restaurant/Brewpub),2,2
9226,Whitstran Brewing Company,7,7
9229,Kagawa Brewery,1,1
9234,Mr. Jim's Cannon Brewpub,2,2
9243,"Brewery At Lake Tahoe, The",11,11
9256,Brouwerij Meesters,1,1
9261,Krasnozerskiy Pivkombinat Novosibirskovo Oblpotrebsoyuz,1,1
9262,"Grupo Cervezas Alhambra, SL",5,3
9263,Tanzania Breweries Ltd.,8,6
9264,Royal Bavaria Restaurant & Brewery,1,1
9269,Flour City Brewing Co.,13,11
9274,Shakespeare Tavern and Brewery,3,3
9275,PT Bali Hai Brewery Indonesia,4,3
9276,Trask Brewery & Public House,5,4
9282,Boscos Restaurant & Brewing Co. - Memphis,21,18
9283,Brauerie Franz Kammhuber,3,3
9292,Nihon Beer K.K.,2,2
9297,Brasserie du Bouffay,8,2
9298,Brasserie De La Cote De Jade,5,5
9300,Les Sarments,1,1
9329,Bintara Brewery,6,6
9343,Beer Works,157,67
9345,Wm. Kuether Brewing,3,3
9346,Pivovar Svijany,8,3
9347,Pivovar Ferdinand / Pivovar Beneov,3,2
9349,M&#283;&#357;anský Pivovar Strakonice,3,2
9350,Pivovar Vykov,3,3
9351,Pivovar a Sodovkárna Jihlava,7,5
9359,C&#275;su Alus Darîtava,12,7
9368,Socorro Springs Brewing Company,4,4
9369,Myanmar Brewery and Distillery,1,1
9370,Consorcio Cervecero De Baja California ( La Taberna TJ ),4,4
9372,"Compania Cervecera Kunstmann, S.A.",5,4
9373,South East Asia Brewery,1,1
9374,UAB Švyturys,14,12
9376,"Compañía Cervecera De Canarias, S.A.",4,2
9377,Brauerei Falken AG,4,4
9378,Wadi-Brau-Huss AG,1,1
9379,Original Ittinger Klosterbräu,1,1
9385,Apu Brewery,3,3
9388,"Dempsey's Brewery, Restaurant & Pub",5,5
9408,Great Lakes Brewery,113,43
9409,Brasserie Alphand,2,2
9411,Brasserie D'Annoeulin,4,3
9412,Brasserie Des Alberes,2,2
9413,Brasserie Sancerroise,5,4
9414,La Brasserie Du Scala,3,3
9416,Battersea Brewery,2,2
9417,Itchen Valley Brewery Ltd,21,7
9422,Wold Top Brewery,9,5
9429,Rheingold Brewing Co.,1,1
9435,Santa Monica Distillery / Excalibur Brewing,1,1
9446,Brasserie Bourganel,5,2
9457,"Jacob Rainier & Sohn, Brauerei",2,2
9480,Pater Van Damme,1,1
9482,Ishikari Banya No Ji-Beer,4,4
9483,Kairinmaru Beer,5,4
9484,Otaru Winery Beer,6,5
9510,Privatbrauerei Waldhaus,4,4
9513,Keweenaw Brewing Company,40,21
9515,Hart Brewery,3,2
9516,Northumberland Brewery Limited,1,1
9529,Cumberland Brews,21,19
9534,John Martin's (John Martin SA),12,9
9536,Mountain Crest Liquors,10,2
9538,Atomic Ale Brewpub And Eatery,9,9
9545,Joker Bar,3,3
9550,Upstream Brewing Company - Legacy,12,11
9558,Brown's Brewing Company,29,25
9559,Kikazakura K.K.,1,1
9563,Queen City Brewing Limited,23,21
9568,Teme Valley Brewery,6,4
9570,Apex Brewing Company,1,1
9574,Red Lion Ales,3,2
9582,Endurance Brewing Company,2,2
9585,Craft Microbrewery,6,6
9592,Prodel S.r.l,1,1
9595,Santa Fe Hops Brewhouse (& Geezers Restaurant),3,3
9602,Cape Cod Beer,22,12
9605,"Loddon Brewery, The",9,5
9608,Shaws Brewery,1,1
9611,Wild River Brewery And Restaurant,1,1
9617,Bastone,20,17
9629,Short's Brewing Company,113,42
9632,Brasserie Lauth,2,2
9639,"Old Mill Brewery, The",1,1
9645,Halifax Steam Brewing Company Ltd,2,2
9650,Yippie-Ei-O Grille,4,4
9651,Radomyshlskij Pivovarennyj Zavod,4,4
9663,Heineken Italia SpA,5,1
9664,Rzhevpivo,1,1
9672,Yokohama Beer,11,9
9673,Tokachi Beer,4,4
9674,Sky Beer,2,2
9685,Amnesia Brewing,23,15
9694,4th Street Brewing Co.,25,19
9700,Hereford Brewery,6,4
9704,Emmett's Brewing Company,17,15
9710,Birrificio Lodigiano,3,3
9717,Mo’s Place Grill & BrewPub,7,7
9718,Cwmbran Brewery,5,5
9726,Les Frères Houblon Microbrasserie,19,12
9729,Holdfast Hotel,1,1
9730,Brasserie des Sources,8,3
9733,Brasserie Rancho El Paso,9,9
9734,Awa Bakushu,4,4
9741,Artebirraia,3,1
9745,Margaret River Ale Company,1,1
9746,Paddy's Pub And Brewery,15,12
9749,Bondi Beer Company,2,2
9750,Nagisa Beer K.K.,2,2
9761,Lammin Sahti Oy,5,2
9762,Finlandia Sahti Ky,2,1
9765,Landmark Brewing Company,2,2
9767,Welton's Brewery,5,2
9770,Hopping Mad Brewery,2,2
9771,Harringtons Brewery,20,16
9772,Dux de Lux,7,7
9774,Huebert Brewing Company,5,4
9775,Brasserie De Saint Omer,12,7
9781,Taisetsu Ji Beer,7,7
9784,Zero Gravity Craft Brewery / American Flatbread,92,41
9790,The Duck-Rabbit Craft Brewery,24,15
9792,Natty Greene's Pub & Brewing Co.,62,46
9793,Heinzelmännchen Brewery,10,9
9797,North Country Brewing,54,34
9798,Carver Brewing Co.,19,17
9805,Lost Falls Brewing Company,6,6
9813,Brasserie Rouget De Lisle,12,9
9816,Bryggeriet Refsvindinge,10,9
9819,Thoroughbreds Grill & Brewing,15,15
9820,Elk Head Brewing Company,14,13
9823,Downtown Joe's American Bar And Grill,10,9
9824,Silverado Brewing Company,11,11
9826,Altitude Chophouse & Brewery,9,9
9827,Big City Brewing CO LTD,6,6
9830,Clair De Lorraine,2,2
9853,Pilot Bay Brewing Company,2,2
9854,Tuatara Brewing Co.,9,8
9855,Martinborough Brewing Co.,1,1
9860,Chiltern Brewery,5,5
9862,Hugo's Grill and Brewhouse,8,8
9863,Brewsters Brewing Company & Restaurant - Eleventh Avenue,19,14
9865,Brewsters Brewing Company & Restaurant - Lake Bonavista,11,10
9866,Denison's Brewing Company,3,3
9869,Astoria Brewing Company / Wet Dog Cafe,26,18
9877,Rush River Brewing Company,10,10
9880,Brasserie Artisanale Du Dauphiné,6,6
9884,Elmwood Brewing Company,7,7
9886,Chyernogolovskiy Pivovarenniy Zavod,1,1
9891,Brasserie Warenghem,4,3
9892,Tigertops Brewery,2,2
9897,Jolly Pumpkin Artisan Ales,40,15
9899,C.I. Shenanigan's Seafood & Chophouse,15,11
9903,Brasserie Alauna,1,1
9904,Ferme-Brasserie De Gaillon,2,2
9905,Beer Works Chitose,5,5
9914,Sequoia Brewing Company,34,23
9916,Mount Shasta Brewing,8,7
9921,Brasserie Artisanale Des Grands Cols,4,3
9922,Brasserie Des Trois Fontaines,3,3
9932,Winkels Getränke GmbH & Co./Markgrafenbräu,2,2
9961,Cerveza Ancla Colombia,1,1
9962,Birkenhead Brewery,4,4
9963,Mitchell's Knysna Brewery,7,5
9969,Rahr & Sons Brewing Company,24,19
9978,Das Ambräusianum,4,4
9979,Moulin Des Moines,4,3
9984,Rother Valley Brewing Co.,5,3
9985,Olde Towne Brewing Co.,12,10
9996,Multi-Brasses,23,18
10001,Hockley Valley Brewing Co.,11,8
10004,Brasserie Distillerie Du Mont Blanc,5,5
10005,Les Brasseurs Du Sornin,8,6
10012,Back Street Brewery,2,2
10029,Bluetongue Brewery Pty Ltd,9,6
10038,Alt-Oberurseler Brauhaus,3,3
10046,Left Coast Brewing Company,19,15
10049,Kamloops Brewery Ltd,9,6
10067,Brasserie An Alarc'h,6,4
10068,Brasserie Artisanale Du Trégor,8,5
10070,"Kumano Beer, K.K.",2,2
10072,Brasserie De Pouldreuzic,3,3
10085,Brouwerij De Kemphaan,2,2
10087,Omaha Jack's Grillhouse & Brewery,13,10
10089,Redoak Boutique Beer Café,40,31
10093,Strangford Lough Brewing Company Ltd,5,3
10095,Cervejaria Baden Baden,11,9
10096,Cervejaria Sudbrack Ltda,17,13
10097,Harpoon Brewery,110,51
10099,Dogfish Head Brewery,116,53
10101,"Fujiyama Beer, K.K.",2,2
10102,Randalls of Guernsey,2,2
10103,Bakushukan Clair (Kure Beer),2,2
10104,Yuiga Doxon Ji Beer,1,1
10113,Waiheke Island Brewery Ltd,4,4
10114,Vulkan Brauhaus GmbH,3,3
10116,Steelback Brewery,11,7
10122,Thunder Bay Brewing Company,5,5
10131,BABB Srl,7,7
10148,Grado Plato,10,9
10152,Moonshine,14,10
10153,Pisgah Brewing Co.,41,27
10154,Abbey Bells Brewery,1,1
10155,Acorn Brewery Of Barnsley,13,6
10157,Brasserie Les Trois Fourquets,4,4
10158,Belvoir Brewery Ltd,3,2
10161,Birra Moretti (Heineken),7,5
10164,Brouwerij Clarysse NV,1,1
10165,Tarricone S.p.A.,2,2
10174,Cobra Beer Partnership Limited,3,3
10184,Black Dog Brewery,1,1
10191,Wibblers,1,1
10193,Blindmans Brewery,1,1
10202,Depot Street Brewing,12,10
10204,Zuma Brewing Company,2,2
10214,Cervejaria Petrópolis,4,3
10215,De Porto Ind. E Com. De Bebidas Ltda.,3,3
10217,Cervejaria Devassa,5,5
10218,Big Easy Brewing Company,3,2
10224,"BJ's Pizza, Grill & Brewery",15,12
10226,Water Street Brewing & Ale House,15,12
10243,Brasserie De La Pigeonnelle,2,2
10244,Distillerie De Genièvre Clayessens,1,1
10245,Ferme-Brasserie Saint Rieul,7,5
10260,Brasserie De Cazeau,5,5
10266,Olde Main Brewing Co. & Restaurant,11,10
10271,Silver Moon Brewing,28,21
10272,Innis & Gunn,23,6
10275,Shikoku Kakou K.K.,2,2
10279,OPA-OPA Steakhouse & Brewery,30,23
10284,Independence Brewing Co.,21,15
10287,Micro Cervejaria Falke Bier,7,7
10288,Industrial Norte Paranaense De Bebidas Ltda,1,1
10290,Stratford Brewing Company,7,6
10296,Nihonkai Yuhi Brewery,2,2
10298,Akashi Brewery K.K.,2,2
10309,Cervejaria DaDo Bier,5,5
10312,Cervejaria Ashby,2,2
10317,Tindall Ale Brewery,2,2
10321,Central City Brewing,26,21
10323,Birrificio Di Como,7,6
10324,Scarampola,2,2
10325,Vecchio Birraio,4,4
10327,Unser Bier,4,3
10365,William Greenwood Brewing Co Ltd,2,2
10366,Zerodegrees Bristol,3,3
10368,Brasserie Celtique Du Pen Roc,2,2
10370,Old Bear Brewery,4,4
10378,Old Capitol Brew Works and Public House,32,24
10379,The Depot Restaurant & Lounge,2,2
10393,Shinshu Toumi City Promotion Public Corporation,1,1
10397,Sly Fox Brewing Company,102,53
10425,McMenamins Old St. Francis School,6,5
10430,Lvivska Pivovarnya (BBH),7,5
10434,Mia & Pia's Pizzeria And Brewhouse,18,15
10436,Klamath Basin Brewing Co.,2,2
10439,Ridna Marka,1,1
10443,Brasserie Du Sollier,1,1
10446,Two Rows Restaurant And Brewery,2,2
10450,Dorset Brewing Company Ltd,7,5
10453,Wylam Brewery,3,3
10460,Marble Arch Pub,15,10
10485,East End Brewing Company,79,43
10495,"Miyaji Beer, K.K.",1,1
10498,Three Bs Brewery,2,2
10504,Birrificio Troll,12,9
10506,Bierland,3,3
10523,Gotlands Bryggeri,16,14
10524,Whitefish Brewing Company,1,1
10525,Bryggeriet S.C. Fuglsang,6,4
10526,Israel Beer Breweries Ltd.,3,2
10539,Ölgerðin Egill Skallagrímsson,7,4
10540,La Cervesera Artesana,4,4
10541,Cucapá Brewing Company,15,11
10543,Three Rivers Eatery And Brewhouse,26,18
10544,Guinness Nigeria PLC,3,3
10545,Glacier Brewing Company,7,7
10546,Suomenlinnan Panimo Sveaborgs Bryggeri,2,2
10548,St. Vincent Brewary LTD.,1,1
10549,Charleville Vineyard Microbrewery,20,18
10557,KleinBrouwerij De Glazen Toren,10,5
10560,Illinois Brewing Company,10,10
10567,John S. Rhodell Brewery,32,22
10574,Gasthaus-Brauerei Braustelle,16,10
10583,Iron Springs Pub & Brewery,29,20
10588,Hoppers Grill & Brewing Co.,14,12
10590,Bitter Creek Brewing Company,6,6
10607,Sixpoint Brewery,91,41
10609,Brasserie Artisanale De L'Ermitage,1,1
10610,La Maison Du Pere Georges,1,1
10613,Great Northern Brewery and Restaurant,3,3
10626,Stumptown Brewery & Smokehouse,3,3
10629,Schmohz Brewing Company,17,17
10641,Thomas Hardy Burtonwood Limited,4,4
10643,Derwent Brewing Co.,1,1
10645,Stonehenge Ales Limited [Bunces Brewery],7,5
10661,Big Horn Brewing Company,1,1
10667,Cornerstone Brewing Company,37,29
10670,Legends Brewhouse & Eatery Of Ashwaubenon,2,2
10673,Warbird Brewing Company,6,5
10678,La Tour A Bières,12,11
10699,Pittsfield Brew Works,25,20
10703,Yumeminatobeer Co. Ltd.,1,1
10707,Trader Joe's Brewing Company,24,18
10728,Cervejaria Malta,1,1
10729,Cervejaria Colorado,6,6
10739,Vat Pivobyezalkogolniy Kombinat Krim,1,1
10750,An Teallach Ale Co.,5,4
10753,Islay Ale Co. Ltd.,9,5
10758,Cervejaria Universitária,5,5
10764,Keeer,2,2
10768,Doghouse Brewery Co,1,1
10772,Isetskiy Pivobyezalkogolniy Zavod,1,1
10774,Micro-Brasserie Brouemont,5,5
10775,La Mare Au Diable,5,5
10790,Beck's Sports Brewery,10,10
10795,Brasserie Mélusine,5,4
10796,Flying Monkeys Craft Brewery,28,18
10799,Ham's Restaurant & Brewhouse,27,23
10808,Die Weisse Salzburger Weissbierbrauerei,1,1
10818,Bauer´s Marchfelder Storchenbräu,1,1
10821,Brigitta-Bräu,3,3
10829,Keltenhof,1,1
10836,Roosterfish Brewing Co.,22,15
10843,Bear Creek Brewing Company,4,4
10849,Reijin Shuzo K.k.,1,1
10861,Sharp's Brewery,14,7
10871,Mauritius Brauerei,4,2
10878,"Minakuchi Shuzo, K.K.",1,1
10880,Oxford Brewing Company,3,3
10889,Fort Street Brewery,36,24
10892,Maluti Mountain Brewery / Lesotho Brewing,1,1
10897,Carlsberg Sverige AB,59,16
10898,Hantverksbryggeriet AB,11,10
10899,"Irish Pub Sundsvall (""Dublin"")",1,1
10901,Mora Brygeri,3,3
10902,Närke Kulturbryggeri AB,34,19
10903,Oppigårds Bryggeri AB,35,21
10912,Golden State Brewing Company,1,1
10924,Casa Di Conti,1,1
10930,Oirschots Bier,1,1
10950,Richmodis-Bräu,1,1
10960,Ramapo Valley Brewery,14,13
10990,Lazy Magnolia Brewing Company,21,12
10991,Christian Moerlein Brewing Company,20,16
10993,Shirak Manufacturers,4,1
10994,VAT Berdichivskiy Pivzavod,1,1
10996,Roots Organic Brewery,22,18
11006,Amicas,12,12
11008,Pug Ryan's Brewery,5,5
11017,Trumer Brauerei Berkeley,1,1
11023,Better Bitters Brewing Co.,42,27
11031,Brouwerij De Molen,119,43
11032,EleganT Brouwerij,5,4
11034,"Bard's Tale Beer Company, LLC",3,2
11036,Foothills Brewing Company,42,20
11038,Keltic Brewing Company,3,3
11039,The Frog & Onion - Dockyard Brewing Co.,6,6
11053,The Firehouse Brewing Co.,7,6
11056,Les Trois Mousquetaires,38,20
11057,Bryggeriet Vestfyen,16,12
11060,Grauballe Bryghus - Gaardbryggeriet,5,5
11061,Herslev Bryghus,18,16
11063,Ølfabrikken,34,23
11065,Olvi Oyj,6,5
11066,Mack Bryggeri,7,4
11068,Carlsberg Italia S.p.A.,5,2
11074,Bootie Brewing Company,2,2
11080,Weetwood Ales,2,1
11082,Stewart Brewing Ltd,10,6
11084,"Great Sex Brewing, Inc.",1,1
11085,C.B. & Potts,3,3
11103,Maribo Bryghus (Royal Unibrew),6,3
11111,Antares,9,8
11120,Gutov,3,3
11124,Murrieta Pizza & Brewing,3,3
11127,The Pumphouse Bar,2,2
11138,Kláterní pivovar Želiv s.r.o.,3,3
11139,Valleibieren Leusden,2,2
11141,Hank is Wiser Brewery,2,2
11142,Torin & Co.,1,1
11143,Pilsnergubbarna AB,4,3
11144,Tel-Aviv BrewHouse,3,3
11146,Pivovar Poutník,1,1
11148,Braidwood Brewery,3,3
11150,"Florida Brewery, Inc",1,1
11158,Neptune's Brewery,6,6
11159,"Pivovar Nymburk, spol. s r.o.",2,1
11174,Cervecera Mexicana S.A. De C.V.,15,8
11175,Persha Privatna Brovariya,9,6
11186,"Grainstore Brewery, The [Davis'es Brewing Co Ltd]",5,5
11203,Hog Haus Brewing Company,10,10
11205,M&#283;stský Pivovar Platan S.r.o.,9,5
11206,Pivovar Podková&#328;,10,4
11207,Maui Brewing Co. (Brewpub),54,33
11208,Harbin Brewery Group,5,4
11212,Iron Horse Brewery,29,17
11239,Finnegans Inc.,1,1
11241,Angry Minnow Brewpub,14,14
11252,Nottingham Brewery,3,3
11253,Kloster Kreuzberg,1,1
11256,À l’abri de la Tempête,10,10
11257,Ogawa Beer,2,2
11264,Skytop Steakhouse,6,6
11269,Brugge Brasserie,27,15
11272,Tryst Brewery,4,3
11284,Four + Brewing Company,1,1
11285,Brauerei Bruckmüller,7,5
11287,Brauerei Winkler,2,2
11290,Zum Kummert Bräu,1,1
11326,Bowland Beer Company Limited,7,6
11327,Hesket Newmarket Brewery,2,2
11328,Westerham Brewery Company Ltd,9,4
11333,Beer Station,3,3
11338,"Ryujin Shuzo Co,. Ltd.",5,5
11341,Hideout Brewing Company,21,16
11342,Schooner's Grille & Brewery,16,13
11344,Cuillin Brewery,1,1
11357,Artos Breweries Ltd,1,1
11361,Heiner Brau,11,7
11365,Færgekroen,1,1
11370,Hill Brewing Company,1,1
11371,Shimane Beer K.K.,4,4
11372,Hamanako Brewery,1,1
11383,7 Kron,2,2
11384,Valott,5,5
11385,Salamander Brewing Company,4,3
11392,Ales Of Scilly Brewery,1,1
11394,Butts Brewery Ltd.,3,3
11395,Tring Brewery Company Ltd.,12,7
11402,Warwickshire Beer Company,2,1
11403,Fur Bryghus,6,5
11405,Egan & Son's,5,5
11410,Bartrams Brewery,8,8
11412,Bedondaine & Bedons Ronds,15,14
11421,Sin City Brewing Co.,7,6
11426,SBC Restaurant & Brewery - Milford,8,8
11434,Brasserie Du Canardou,7,5
11437,Northern Brewing Limited,3,2
11438,Nelson Brewing Company,4,4
11439,"Healthy Brew, Inc.",3,3
11440,Three Rivers Brewing Company,4,3
11466,Lodi Beer Company,15,15
11474,Gold Hill Brewery,3,3
11482,Traktir Rus,1,1
11485,Grindstone Brewing Co.,12,11
11489,Interbeer,2,2
11492,Methow Valley Brewing Company/Twisp River Pub,11,10
11494,Sonoma Chicken Coop,8,8
11497,Wig & Pen Tavern & Brewery,1,1
11501,Birrificio Barchessa Di Villa Pola,3,3
11508,Red Jacket Brewing Company,5,5
11512,Beltaine Appennino Risorse,3,2
11524,Pivovar Janá&#269;ek,2,1
11528,Le Grimoire,17,9
11530,Leek Brewing Company Ltd,8,6
11531,Brouwerij Angerik BVBA,3,3
11532,Brasserie Authentique,5,4
11551,Deka Brewery,12,3
11565,Mt. Tallac Brewing,1,1
11577,Daisen G Beer,5,5
11580,Santa Cruz Mountain Brewing,15,13
11587,Le Sergent Recruteur,3,3
11591,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,15,10
11592,Ellicottville Brewing Co.,14,11
11596,Clinton Street Brewing,5,5
11597,Asheville Brewing Company,16,11
11599,Green Man Brewery,31,24
11600,Sacramento Brewing Company's Oasis,5,5
11611,Bridge Road Brewers,24,17
11618,Wiedenmayer Brewing Corp.,1,1
11620,Microbrasserie Archibald,7,7
11644,Fox River Brewing Co.,9,8
11650,Mobius Brewing,1,1
11659,Rome Street Tavern Grill,5,5
11675,Silverton Brewery,8,8
11679,Four Peaks Grill & Tap,6,6
11689,Gella's Diner & Lb. Brewing Co.,14,13
11709,Olm Brouwerij,1,1
11710,Speciaalbierbrouwerij Oijen,6,4
11711,Stichting Noordhollandse Alternatieve Bierbrouwers (SNAB),3,3
11712,Whitstable Brewery,5,4
11713,Fauerbach Brewing Company,2,2
11715,Destiny Brewing Company,9,8
11725,Gasthausbrauerei Stanglbräu,1,1
11726,Privatbrauerei Friedrich Riemhofer GmbH & Co. KG,2,2
11729,Middle Villa Inn,5,4
11739,Brasserie Mortal's Beers,7,3
11741,"Millstone Brewery Limited, The",2,2
11742,Isle Of Mull Brewing Co. Ltd.,2,1
11743,Naylor's Brewery,12,8
11746,Le Brasse-Temps (Mons) / Microbrasserie Le Brasse-Temps,4,3
11747,Hargreaves Hill Brewing Company,13,13
11748,Diamond Beer Brewing Company,1,1
11749,Brasserie Artisanale Du Flo,2,1
11750,Brasserie Grain D'Orge,8,6
11752,Brasserie De Lautène,1,1
11753,Brasserie Artisanale Millevertus De Toernich,12,7
11754,Brasserie Saint Donat,3,2
11756,Brouwerij De Schuur,1,1
11774,Olde Hansa,2,2
11784,A Tribbiera,5,5
11798,Les Trois Brasseurs,5,4
11814,Saugatuck Brewing Company,21,14
11819,Brauerei Baar AG,4,4
11835,Eugene City Brewery,21,13
11841,Schnuckenbräu,1,1
11842,Charleston Brewing Company,3,3
11856,Syndicate Restaurant & Brewery,12,11
11862,Bières de Ré,6,4
11863,Brasserie Artisanale De La Divatte,5,5
11864,Brasserie Artisanale Ratz,2,2
11867,Brasserie De La Brière,4,4
11871,Brasserie Moulin D'Ascq,4,3
11872,Brasserie Saint-Germain,8,4
11873,Brasseries De Bourbon,3,3
11882,Round Barn Brewery,13,11
11889,Bierbrouwerij De Boei,2,2
11890,Bierbrouwerij Grand-Café  Emelisse,25,18
11891,Bierbrouwerij Mommeriete,4,4
11904,Bush Shack Brewery,4,4
11908,Helldorado Brewing Co.,3,3
11912,C.B. & Potts,10,10
11927,Steam Brewing Company,2,2
11933,Coach's Restaurant,2,2
11936,Sierra Madre Brewing Co.,14,14
11939,Hornpout Brewing,3,3
11940,Brasserie De Tunis,1,1
11941,Pécsi Sörfözde,14,7
11956,Gunnison Brewery,5,5
11959,Goff's Brewery Ltd.,3,2
11960,Microbrasserie Sainte-Hélène,10,9
11961,Brasserie la Botteresse de Sur-les-Bois,5,3
11972,Madison River Brewing Company,8,8
11974,Leelanau Brewing Company,3,3
11977,Howe Sound Inn & Brewing Company,29,19
11984,Shoreline Brewery And Restaurant,39,24
11993,Panimoravintola Koulu,1,1
12003,Emmett's Brewing Company,16,13
12007,Hayashibune Yakurai Beer,1,1
12011,Macardle Moore,1,1
12015,Arctic Craft Brewery,12,8
12021,Tobiishi Kikai Sangyo,1,1
12024,Bierbrouwerij Volendam,2,2
12041,Les Bieres Des Hauts,1,1
12043,Brasserie De Mont-Saint-Guibert,3,3
12047,Svaneke Bryghuse,13,11
12059,Roosters Brewing Company and Restaurant,7,7
12092,Maverick Brewing Co.,2,1
12097,BrewPub København,13,12
12098,Skye Book And Brew,7,7
12110,Gritty McDuff's Brewery & Pub,3,3
12115,Zerodegree Micro-brewery Bar And Restaurant,6,5
12125,Storm Brewing Co.,1,1
12128,Fox Brewery Ltd,5,5
12129,Twickenham Fine Ales,2,1
12130,Wild's Brewery Ltd.,3,1
12131,Gem's Brew Pub,3,3
12133,Stadin Panimo,3,3
12140,Steinbach Bräu,2,2
