brewery_id,brewery_name,no_of_beers,no_of_beerstyles
624,Tuckerman Brewing Co.,4,3
625,Gamla Slottskällans Bryggeri AB,49,28
626,Mac's Brewery,11,10
627,Monteith's Brewing Co.,15,13
628,Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG,24,11
629,New Century Brewing Company,2,1
630,Academy of Fine Beers,2,2
632,Triple Rock Brewery & Alehouse,67,29
633,Browary Dolno&#347;l&#261;skie Piast S.A.,3,1
634,Brouwerij Van Eecke N.V.,18,9
635,Brasserie Ellezelloise,5,5
636,Hanssens Artisanaal bvba,9,3
637,Brasserie Dupont sprl,18,8
638,Mississippi Brewing Co.,4,3
639,Main Street Brewery  / Turoni's Pizza,13,13
640,El Toro Brewing Co.,34,20
641,Brouwerij Verhaeghe,13,5
642,Free State Brewing Co.,73,43
643,The Brü Rm. at BAR,32,24
644,Dublin Brewing Company,3,2
645,Irish Brewing Company,1,1
646,Carlow Brewing Company,12,6
647,The Biddy Early Brewery,6,5
648,Köstritzer Schwarzbierbrauerei GmbH & Co.,4,4
649,Isle of Arran Brewery Company Ltd.,6,4
650,Kelley Brothers Brewing Company,7,6
651,Ithaca Beer Company,52,27
652,Central Waters Brewing Company,35,24
653,Rohrbach Brewing Company (Brewpub),68,41
654,Brouwerij Mort Subite,15,4
655,Boddingtons,2,2
657,Brouwerij Louwaege,3,3
658,Hart Robinson Breweries,12,7
659,"Cervecería Nacional, S.A.",4,1
660,Huisbrouwerij Boelens,17,8
661,Muskoka Brewery,18,12
662,Denison's Brewing Company & Restaurant,5,5
663,Federal Jack's Restaurant & Brew Pub,21,13
664,Wells & Young's Ltd,33,19
665,Smithwick's Brewery / Irish Ale Breweries Ltd,4,1
666,Emerson's Brewery,27,22
667,Hubcap Brewery & Steakhouse,1,1
668,Back Road Brewery,35,25
669,Brouwerij De Landtsheer NV,12,6
670,Riverside Brewing Company,10,9
671,Beer of Yerevan JSC,10,3
672,Elbrewery Co. Ltd. Sp. z o.o.,5,2
673,R & B Brewing Co.,12,10
674,Nelson Brewing Company,9,7
675,Brouwerij Roman N.V.,17,9
676,Foundry Ale Works,13,12
677,Chili Beer Co.,9,7
678,Hal and Mal's Restaurant,3,3
680,Bricktown Brewery,11,8
681,Brasserie de l'Abbaye des Rocs s.a.,9,5
682,Pearl Street Brewery,11,11
683,Valkyrie Brewing,26,24
684,Fish Brewing Company / Fishbowl Brewpub,41,22
686,Whale Tail Brew Pub,3,3
687,The Brew Pub at Mohegan Sun,5,5
688,Coastal Extreme Brewing Co.,47,24
689,Two Brothers Brewing Company,74,31
691,Blackstone Restaurant & Brewery,26,21
692,Ellicottville Brewing Co.,41,28
694,Tröegs Brewing Company,95,37
695,Manayunk Brewery and Restaurant,59,33
696,Thomas Hooker Brewing Company,21,15
697,Kiuchi Brewery,22,17
698,LaConner Brewing Company,24,21
699,Butterfield Brewing Company,2,2
700,Elysian Brewing Company,83,39
701,Boundary Bay Brewery & Bistro,57,23
702,Flying Bison Brewing Company,31,23
703,Erdinger Weissbräu,10,5
705,Union Station Brewery,34,24
707,Pivovar Náchod a.s.,13,12
708,F&M Brewery,24,15
709,Slavutych Brewery,12,7
710,Jacob Leinenkugel Brewing Company,31,18
711,Alley Kat Brewing Company,58,34
713,Beijing Yanjing Beer Group Corporation,13,6
715,Brauerei Fohrenburg GmbH & Co,9,3
716,Asahi Breweries Ltd,37,12
717,Oak Creek Brewing Co.,9,8
718,Brouwerij Bavik,26,11
719,Blitz-Weinhard Brewing Co.,18,10
720,Demarche Brewery,3,3
721,Carlsberg Danmark A/S,45,30
722,Cervecería Bavaria,12,6
723,"Cervecería Leona, S. A.",2,1
725,Brouwerij Haacht NV,29,13
726,Dortmunder Actien Brauerei / DAB,17,6
727,Asia Pacific Breweries Ltd.,7,6
728,Zhongce Beijing Beer Company,2,1
729,Palmetto Brewing Company,10,8
730,Steam Whistle Brewing,1,1
732,Brauerei Schützengarten AG,2,2
733,Middle East International Investments Group/MEIIG,3,2
734,Pivovar Herold B&#345;eznice A.s.,12,8
735,21st Amendment Brewery,83,37
736,Hurlimann Brewery,4,3
737,Friesisches Brauhaus zu Jever GmbH & Co KG,5,5
738,Brasserie Fantôme,39,5
739,Brouwerij De Ranke,10,8
740,Bank Street Brewing,8,7
741,"Lakefront Brewery, Inc.",39,27
742,District ChopHouse & Brewery,29,23
743,Lancaster Brewing Company,38,30
744,Little Creatures Brewing Company,16,11
746,Valley Forge Brewing Company,17,12
747,General Lafayette Inn & Brewery,75,38
748,RCH Brewery,14,6
749,Boyne River Brewing Company,3,3
750,Lake Superior Brewing Company,13,11
751,Big Sky Brewing Company,42,22
753,Brasserie Caracole,13,6
754,Erie Brewing Co.,20,16
755,Big Buck Brewery & Steakhouse #1,14,12
756,Big Buck Brewery & Steakhouse #2,1,1
757,Big Buck Brewery & Steakhouse #3,15,15
758,Uncle Buck's Brewery & Steakhouse,31,23
761,CB's Brewing Company,102,28
762,Butte Creek Brewing Company,27,15
763,Moonlight Brewing Company,31,17
764,Blue Point Brewing Company,44,27
765,Trafalgar Ales & Meads,41,22
766,Heartland Brewery Union Square,42,31
769,Amsterdam Brewing Company,43,26
771,Ferme Brasserie Schoune,34,17
772,Brasserie Vervifontaine,7,4
773,Elm City Brewing Co.,48,34
774,Idaho Brewing Company,5,5
775,York Brewery Company Limited,19,8
776,Catamount Brewing Company,5,5
777,"Underground, The",4,3
778,Pioneer Brewing Company,14,13
779,"Adnams plc, Sole Bay Brewery",33,14
780,Granville Island Brewery,37,30
781,Longwood Brewpub & Restaurant,13,13
782,"City Brewing Company, LLC",40,12
783,Royal Unibrew A/S,16,9
784,Tyranena Brewing Company,49,26
785,Albani Bryggerierne (Royal Unibrew),8,4
786,Stevens Point Brewery,26,21
787,South Shore Brewery,36,27
788,Slab City Brewing Company,9,9
789,Sand Creek Brewing Company,36,23
790,Nicolet Brewing Company,3,3
791,Minocqua Brewing Company,14,13
792,LogJam Microbrewery,4,3
793,Lake Louie Brewery Company,15,12
794,Harbor City Brewing Company,6,5
795,Brothers Brewing Company,2,2
796,Eureka Brewing Co.,7,5
797,Old European Brewing Company,20,16
798,Castle Eden & Camerons Brewing Company Ltd,11,7
800,"Thai Amarit Brewery Co., Ltd.",3,3
801,SA Brain & Company Ltd,14,7
802,The Blue Ridge Brewing Co.,26,17
803,Faultline Brewing Company,12,12
804,Brasserie de Silly S.A.,21,10
805,Brasserie Du Bocq,46,10
806,W.H. Brakspear & Sons plc,13,6
807,George Bateman and Son Ltd. / Batemans Brewery,31,10
809,Belco Beer House S/A,2,2
811,Highland Brewing,32,22
812,Marin Brewing Company,46,25
813,Les Brasseurs de Gayant,19,12
814,Trout River Brewing Company,18,17
815,Brutopia,20,15
816,Granite Brewery & Restaurant,16,13
817,Stieglbrauerei zu Salzburg GmbH,14,7
818,Steelhead Brewing Co.,46,25
819,Ross Valley Brewing Company,4,4
820,Augustiner-Bräu Wagner KG,13,9
821,Monte Carlo Casino Pub & Brewery,14,13
822,East African Breweries Ltd (Kenya Breweries),5,5
823,The Olde Burnside Brewing Company,12,8
825,Brasserie de Blaugies,4,3
826,Brasserie de l'Abbaye du Val-Dieu,11,6
827,Brouwerij De Bie / D'Hellekappelle,9,5
828,Brouwerij Oud Beersel,9,5
829,Haines Brewing Company,6,6
835,Barley Creek Brewing Company,25,19
837,Golden Pacific Brewing Company,8,5
